File Name,Precision-GPV,Precision-LAVIS,Recall-GPV,Recall-LAVIS,F1-GPV,F1-LAVIS,Accuracy-GPV,Accuracy-LAVIS
video-3-segment-3.csv,0.16974852071005916,0.2898845892735913,0.8468634686346863,0.850597609561753,0.2828096118299446,0.43240506329113926,0.47377938517179025,0.7466094032549728
video-4-segment-1.csv,0.1480484522207268,0.28936170212765955,0.6790123456790124,0.8607594936708861,0.2430939226519337,0.43312101910828027,0.3806509945750452,0.6781193490054249
video-15-segment-3.csv,0.3244206773618538,0.4936708860759494,0.7137254901960784,0.7647058823529411,0.44607843137254904,0.6,0.6185654008438819,0.7805907172995781
video-19-segment-4.csv,0.5336538461538461,0.46745562130177515,0.6065573770491803,0.9294117647058824,0.5677749360613811,0.6220472440944882,0.7623066104078763,0.729957805907173
video-9-segment-2.csv,0.04779874213836478,0.05728643216080402,0.7524752475247525,0.5643564356435643,0.0898876404494382,0.10401459854014598,0.4270290394638868,0.6344005956813105
video-1-segment-5.csv,0.19613259668508287,0.289134438305709,0.8875,0.98125,0.3212669683257919,0.4466571834992888,0.45750452079566006,0.6482820976491862
video-11-segment-1.csv,0.31396534148827726,0.4637096774193548,0.8148148148148148,0.9299191374663073,0.45327446651949965,0.6188340807174888,0.529746835443038,0.7310126582278481
video-20-segment-1.csv,0.2947761194029851,0.43137254901960786,0.7745098039215687,0.8888888888888888,0.42702702702702705,0.5808580858085809,0.6166365280289331,0.7703435804701627
video-7-segment-2.csv,0.182548794489093,0.32448979591836735,0.8736263736263736,0.9464285714285714,0.301994301994302,0.48328267477203646,0.4527177959791511,0.7468354430379747
video-17-segment-3.csv,0.2227891156462585,0.400990099009901,0.7380281690140845,0.9152542372881356,0.34225996080992815,0.5576592082616179,0.6137322593018796,0.8028385116992712
video-13-segment-2.csv,0.264669163545568,0.3493810178817056,0.686084142394822,0.8246753246753247,0.38198198198198197,0.49082125603864735,0.6783872480075012,0.7529301453352086
video-3-segment-2.csv,0.22792607802874743,0.3023952095808383,0.8222222222222222,0.8145161290322581,0.35691318327974275,0.4410480349344978,0.5780590717299579,0.729957805907173
video-5-segment-1.csv,0.12565997888067582,0.35313531353135313,0.7041420118343196,0.7133333333333334,0.2132616487455197,0.47240618101545256,0.5554430379746835,0.8789873417721519
video-4-segment-3.csv,0.1893687707641196,0.2220795892169448,0.8592964824120602,0.9351351351351351,0.3103448275862069,0.35892116182572614,0.5627157652474108,0.6444188722669736
video-18-segment-1.csv,0.20438683948155534,0.3550863723608445,0.721830985915493,0.7312252964426877,0.3185703185703186,0.4780361757105943,0.4713682941531043,0.7564798071127184
video-20-segment-5.csv,0.3169642857142857,0.3989071038251366,0.8068181818181818,0.8488372093023255,0.4551282051282051,0.5427509293680297,0.569620253164557,0.6886075949367089
video-18-segment-6.csv,0.12890625,0.23155216284987276,0.9339622641509434,0.900990099009901,0.22654462242562928,0.3684210526315789,0.3887884267631103,0.7179023508137432
video-14-segment-1.csv,0.20372836218375498,0.28136200716845877,0.8595505617977528,0.8870056497175142,0.3293864370290635,0.4272108843537415,0.4742616033755274,0.6447257383966245
video-8-segment-2.csv,0.12304250559284116,0.26991150442477874,0.825,0.7349397590361446,0.21414665801427643,0.3948220064724919,0.5620253164556962,0.8647377938517179
video-21-segment-5.csv,0.30709876543209874,0.4658385093167702,0.7425373134328358,0.8653846153846154,0.4344978165938865,0.6056527590847914,0.5628691983122363,0.7527426160337553
video-19-segment-2.csv,0.18705035971223022,0.2967213114754098,0.8387096774193549,0.9836956521739131,0.3058823529411765,0.45591939546599497,0.47282204020848845,0.6783320923306031
video-10-segment-1.csv,0.11811023622047244,0.16352201257861634,0.6818181818181818,0.6341463414634146,0.20134228187919462,0.26,0.5481012658227848,0.7189873417721518
video-21-segment-1.csv,0.175,0.25384615384615383,0.6222222222222222,0.7857142857142857,0.2731707317073171,0.38372093023255816,0.6856540084388185,0.7763713080168776
video-4-segment-4.csv,0.11797556719022688,0.18952879581151832,0.6773547094188377,0.8302752293577982,0.20095124851367419,0.30861040068201195,0.4844649021864212,0.6889144610663598
video-17-segment-1.csv,0.3168724279835391,0.39037433155080214,0.7938144329896907,0.8111111111111111,0.45294117647058824,0.5270758122743683,0.571921749136939,0.6985040276179517
video-1-segment-4.csv,0.19728915662650603,0.2889858233369684,0.8264984227129337,0.8359621451104101,0.31854103343465046,0.42949756888168555,0.4542356377799416,0.6572541382667965
video-6-segment-2.csv,0.17822966507177032,0.24282982791587,0.9197530864197531,0.8523489932885906,0.2985971943887776,0.37797619047619047,0.5336442371752165,0.7215189873417721
video-12-segment-4.csv,0.36561743341404357,0.5456026058631922,0.7242206235011991,0.8111380145278451,0.48592115848753015,0.6523855890944499,0.6629746835443038,0.8117088607594937
video-14-segment-4.csv,0.264,0.337037037037037,0.8148148148148148,0.5759493670886076,0.3987915407854985,0.4252336448598131,0.580168776371308,0.740506329113924
video-2-segment-1.csv,0.19627085377821393,0.2839506172839506,0.8368200836820083,0.8179916317991632,0.3179650238473768,0.4215633423180593,0.5474683544303798,0.7170358649789029
video-16-segment-3.csv,0.3924914675767918,0.5187032418952618,0.7849829351535836,0.7428571428571429,0.5233219567690558,0.6108663729809104,0.5580168776371308,0.7204641350210971
